file_name, duration, singer, fst_level_label, sec_level_label, thr_level_label
Bob Dylan - (I Heard That) Lonesome Whistle, 257s, Bob Dylan,2,7,12
Bob Dylan - A Hard Rain's A-Gonna Fall, 411s, Bob Dylan,2,7,12
Bob Dylan - All I Really Want To Do, 238s, Bob Dylan,2,7,12
"Bob Dylan - Baby, Let Me Follow You Down", 155s, Bob Dylan,2,7,12
"Bob Dylan - Baby, Please Don't Go", 132s, Bob Dylan,2,7,12
Bob Dylan - Backwater Blues, 290s, Bob Dylan,2,7,12
Bob Dylan - Ballad In Plain D, 493s, Bob Dylan,2,7,12
Bob Dylan - Black Crow Blues, 189s, Bob Dylan,2,7,12
Bob Dylan - Blowing in the Wind, 166s, Bob Dylan,2,7,12
Bob Dylan - Bob Dylan's Blues, 140s, Bob Dylan,2,7,12
Bob Dylan - Bob Dylan's Dream, 299s, Bob Dylan,2,7,12
Bob Dylan - Chimes Of Freedom, 426s, Bob Dylan,2,7,12
"Bob Dylan - Corrine, Corrina", 173s, Bob Dylan,2,7,12
"Bob Dylan - Don't Think Twice, It's All Right", 217s, Bob Dylan,2,7,12
Bob Dylan - Down The Highway, 204s, Bob Dylan,2,7,12
Bob Dylan - Dreamed a Dream, 215s, Bob Dylan,2,7,12
Bob Dylan - Emmitt Till, 322s, Bob Dylan,2,7,12
Bob Dylan - Girl From The North, 199s, Bob Dylan,2,7,12
Bob Dylan - Hard Times in New York Town, 145s, Bob Dylan,2,7,12
"Bob Dylan - Honey, Just Allow Me One More Chance", 118s, Bob Dylan,2,7,12
Bob Dylan - House of the Risin' Sun, 319s, Bob Dylan,2,7,12
Bob Dylan - I Ain't Got No Home, 130s, Bob Dylan,2,7,12
Bob Dylan - I Don't Believe You, 259s, Bob Dylan,2,7,12
Bob Dylan - I Shall be Free No. 10, 283s, Bob Dylan,2,7,12
Bob Dylan - In My Time of Dyin', 159s, Bob Dylan,2,7,12
Bob Dylan - In the Pines, 348s, Bob Dylan,2,7,12
Bob Dylan - It Ain't Me Babe, 209s, Bob Dylan,2,7,12
Bob Dylan - Makes a Long Time Man Feel Bad, 213s, Bob Dylan,2,7,12
Bob Dylan - Man of Constant Sorrow, 187s, Bob Dylan,2,7,12
Bob Dylan - Man on the Street, 133s, Bob Dylan,2,7,12
Bob Dylan - Masters Of War, 271s, Bob Dylan,2,7,12
Bob Dylan - Motorpsycho Nitemare, 269s, Bob Dylan,2,7,12
Bob Dylan - My Back Pages, 259s, Bob Dylan,2,7,12
Bob Dylan - Naomi Wise, 184s, Bob Dylan,2,7,12
Bob Dylan - Oxford Town, 107s, Bob Dylan,2,7,12
Bob Dylan - Poor Lazarus, 268s, Bob Dylan,2,7,12
