musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time
1,1.mp3,Good Drank,2 Chainz,"Def Jam Presents: Direct Deposit, Vol. 2",32.1,02:35,03:05
4,4.mp3,X Bitch (feat. Future),21 Savage,Savage Mode,28.09,03:00,03:26
5,5.mp3,No Heart,21 Savage,Savage Mode,84.23,00:41,02:03
6,6.mp3,Red Opps,21 Savage,Red Opps,29.53,02:16,02:44
7,7.mp3,Girls Talk Boys,5 Seconds Of Summer,Ghostbusters (Original Motion Picture Soundtrack),29.11,02:30,02:57
8,8.mp3,PRBLMS,6LACK,FREE 6LACK,40.14,02:10,02:48
9,9.mp3,Timeless,A Boogie Wit Da Hoodie,TBA,23.09,01:57,02:18
10,10.mp3,Drowning,A Boogie Wit Da Hoodie,Drowning,32.1,02:43,03:13
11,11.mp3,My Shit,A Boogie Wit Da Hoodie,My Shit,15.08,01:37,01:50
12,12.mp3,We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,27.1,02:27,02:52
13,13.mp3,Weak,AJR,What Everyone's Thinking,33.12,02:38,03:09
14,14.mp3,I’m Sorry,Adam Wakefield,I’m Sorry (The Voice Performance),26.1,01:55,02:19
15,15.mp3,Lonesome Broken and Blue (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),37.13,02:56,03:31
16,16.mp3,When I Call Your Name (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),51.16,02:06,02:55
17,17.mp3,Hello,Adele,Hello,53.15,03:51,04:42
18,18.mp3,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),52.16,02:50,03:40
19,19.mp3,Water Under The Bridge,Adele,25,43.15,03:02,03:43
20,20.mp3,We're In This Love Together,Al Jarreau,Breakin' Away,81.22,02:27,03:46
21,21.mp3,Faded,Alan Walker,Faded,45.14,02:32,03:15
23,23.mp3,How Far I'll Go(Alessia Cara Version),Alessia Cara,Moana (Original Motion Picture Soundtrack),28.09,02:19,02:45
25,25.mp3,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),42.13,02:57,03:37
26,26.mp3,Wild Things(NuKid Remix),Alessia Cara,Wild Things (The Remixes),18.09,03:54,04:10
28,28.mp3,Not Easy,Alex Da Kid,Not Easy,49.14,03:13,04:00
29,29.mp3,Down That Road (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),41.13,03:02,03:41
30,30.mp3,Somewhere (The Voice Performance),Alisan Porter,The Complete Season 10 Collection (The Voice Performance),52.16,01:53,02:43
31,31.mp3,Caroline,Amine,Caroline,18.09,02:55,03:11
32,32.mp3,Rise Up,Andra Day,Rise Up,35.11,03:17,03:50
33,33.mp3,Fresh Eyes,Andy Grammer,Fresh Eyes,33.12,02:30,03:01
34,34.mp3,It's the Most Wonderful Time of the Year,Andy Williams,Five Songs Of Christmas - Classic,36.13,01:53,02:27
35,35.mp3,True Colors,Anna Kendrick,True Colors,52.16,03:01,03:51
37,37.mp3,Alarm,Anne-Marie,Alarm,44.14,02:41,03:23
38,38.mp3,Ciao Adios,Anne-Marie,Ciao Adios,39.12,02:41,03:18
39,39.mp3,Thief,Ansel Elgort,Thief,44.14,02:51,03:33
40,40.mp3,Beauty and the Beast,Ariana Grande,"Beauty and the Beast (From ""Beauty and the Beast"")",37.13,02:35,03:10
42,42.mp3,Dangerous Woman,Ariana Grande,KISS Kesähitti,47.15,02:40,03:25
43,43.mp3,One Last Time,Ariana Grande,My Everything (Deluxe),40.14,02:34,03:12
44,44.mp3,Forever Country,Artists Of Then,Forever Country,60.17,02:49,03:47
46,46.mp3,Rolex,Ayo & Teo,Rolex,45.14,02:38,03:21
47,47.mp3,Suga Suga,Baby Bash,Now That's What I Call Music! Vol. 14,36.13,02:49,03:23
48,48.mp3,Do They Know It's Christmas?,Band Aid 20,Do They Know Its Christmas?,33.12,03:06,03:37
49,49.mp3,Good Grief,Bastille,Good Grief,34.12,02:53,03:25
