musicId,Arousal(mean),Valence(mean)
1,0.4,0.575
4,0.2625,0.2875
5,0.15,0.2
6,0.5125,0.35
7,0.7,0.725
8,0.3875,0.225
9,0.45,0.2875
10,0.4375,0.425
12,0.6875,0.575
13,0.825,0.5875
14,0.5625,0.575
15,0.6125,0.6625
16,0.5375,0.575
17,0.825,0.675
18,0.8,0.8375
19,0.7625,0.75
20,0.55,0.6375
21,0.8625,0.775
23,0.625,0.675
25,0.761363636364,0.784090909091
26,0.825,0.7625
28,0.4875,0.575
29,0.7,0.675
30,0.6125,0.5375
31,0.625,0.4375
32,0.575,0.3875
33,0.6375,0.75
34,0.6875,0.8375
35,0.3375,0.625
37,0.8,0.75
38,0.8875,0.8375
39,0.875,0.590909090909
40,0.375,0.6625
42,0.7625,0.6
43,0.8625,0.7875
44,0.6875,0.675
46,0.8375,0.575
47,0.4,0.4625
48,0.725,0.8375
49,0.7875,0.7125
50,0.8375,0.5875
51,0.825,0.7625
52,0.5875,0.4625
54,0.875,0.775
55,0.625,0.4
56,0.4125,0.275
57,0.525,0.3625
58,0.2625,0.25
59,0.6,0.6
60,0.42045454545500005,0.40909090909100004
61,0.375,0.275
63,0.375,0.4625
65,0.5875,0.75
66,0.8625,0.7625
67,0.8,0.5875
68,0.65,0.575
69,0.7125,0.775
70,0.575,0.525
71,0.7625,0.5875
72,0.75,0.6875
73,0.5375,0.6875
74,0.8875,0.775
75,0.9625,0.7375
76,0.6375,0.65
78,0.5,0.659090909091
79,0.925,0.625
80,0.725,0.7625
81,0.6125,0.7
83,0.775,0.725
84,0.5,0.8
86,0.7,0.725
87,0.6625,0.6
88,0.625,0.5875
89,0.6875,0.75
90,0.65,0.4875
91,0.8625,0.7375
92,0.65,0.575
93,0.6125,0.65
94,0.7625,0.8
96,0.875,0.825
97,0.85,0.75
98,0.7375,0.65
99,0.6875,0.6875
100,0.175,0.3
102,0.7375,0.825
103,0.5875,0.775
104,0.8375,0.825
105,0.275,0.3875
106,0.7,0.675
107,0.6,0.6125
108,0.8625,0.8625
109,0.8,0.7875
113,0.75,0.7125
114,0.7375,0.7375
115,0.8,0.8
116,0.9,0.7625
117,0.85,0.7
119,0.4875,0.6625
120,0.7625,0.7625
123,0.3125,0.4875
124,0.9,0.8375
126,0.7,0.7
127,0.8125,0.825
128,0.5125,0.6
132,0.85,0.7125
133,0.775,0.7375
134,0.8,0.7125
135,0.7375,0.4
136,0.625,0.525
137,0.7625,0.7
138,0.6625,0.5875
139,0.7125,0.775
140,0.5625,0.65
141,0.5375,0.65
142,0.6,0.625
143,0.5625,0.625
144,0.8625,0.825
145,0.7625,0.75
146,0.6625,0.7375
147,0.55,0.65
148,0.4,0.5
149,0.3875,0.2625
150,0.7375,0.725
151,0.325,0.6125
152,0.825,0.725
153,0.675,0.65
156,0.6625,0.55
157,0.534090909091,0.6818181818179999
158,0.725,0.7875
159,0.875,0.675
160,0.825,0.8125
161,0.8625,0.7125
162,0.875,0.7375
165,0.7375,0.675
166,0.625,0.575
167,0.8875,0.775
168,0.7125,0.625
169,0.675,0.6
170,0.3,0.6
171,0.85,0.8125
172,0.6375,0.625
174,0.477272727273,0.534090909091
175,0.475,0.45
